Millis, X Accel, Y Accel, Z Accel
35,0.89591,0.023711,0.44616
36,0.88589,0.023711,0.4562
37,0.89591,0.033694,0.4562
37,0.926,0.023711,0.4562
38,0.88589,0.033694,0.44616
38,0.88589,0.033694,0.43612
39,0.89591,0.033694,0.44616
39,0.88589,0.023711,0.38591
40,0.89591,0.033694,0.44616
40,0.87586,0.043678,0.4562
41,0.88589,0.023711,0.44616
42,0.88589,0.033694,0.44616
42,0.88589,0.033694,0.44616
43,0.88589,0.033694,0.44616
43,0.90594,0.033694,0.4562
44,0.88589,0.033694,0.44616
44,0.89591,0.033694,0.44616
45,0.87586,0.023711,0.44616
45,0.86583,0.033694,0.44616
46,0.88589,0.023711,0.44616
47,0.88589,0.053661,0.44616
47,0.91597,0.033694,0.44616
48,0.88589,0.033694,0.44616
48,0.88589,0.033694,0.44616
49,0.89591,0.023711,0.44616
49,0.89591,0.023711,0.4562
50,0.88589,0.033694,0.44616
50,0.90594,0.033694,0.43612
51,0.88589,0.033694,0.44616
52,0.90594,0.033694,0.44616
52,0.89591,0.023711,0.4562
53,0.88589,0.033694,0.4562
53,0.89591,0.023711,0.4562
54,0.89591,0.033694,0.44616
54,0.88589,0.023711,0.44616
55,0.89591,0.033694,0.4562
55,0.87586,0.023711,0.44616
56,0.89591,0.043678,0.44616
56,0.88589,0.023711,0.4562
57,0.88589,0.033694,0.4562
58,0.87586,0.033694,0.44616
58,0.88589,0.023711,0.44616
59,0.88589,0.033694,0.44616
59,0.88589,0.033694,0.4562
60,0.89591,0.043678,0.4562
60,0.89591,0.023711,0.4562
61,0.89591,0.033694,0.43612
61,0.88589,0.023711,0.44616
62,0.88589,0.033694,0.4562
63,0.88589,0.043678,0.44616
63,0.88589,0.033694,0.44616
64,0.88589,0.033694,0.44616
64,0.88589,0.033694,0.44616
65,0.88589,0.033694,0.43612
65,0.89591,0.023711,0.44616
66,0.88589,0.033694,0.43612
66,0.88589,0.033694,0.44616
67,0.88589,0.033694,0.44616
68,0.8558,0.023711,0.4562
68,0.89591,0.033694,0.4562
69,0.88589,0.033694,0.47628
69,0.88589,0.033694,0.44616
70,0.89591,0.023711,0.48632
70,0.89591,0.043678,0.48632
71,0.89591,0.033694,0.44616
71,0.89591,0.023711,0.4562
72,0.87586,0.033694,0.44616
73,0.89591,0.033694,0.44616
73,0.88589,0.033694,0.4562
74,0.88589,0.033694,0.44616
74,0.88589,0.033694,0.4562
75,0.89591,0.033694,0.4562
75,0.88589,0.033694,0.47628
76,0.89591,0.033694,0.4562
76,0.89591,0.023711,0.44616
77,0.88589,0.023711,0.44616
78,0.88589,0.033694,0.44616
78,0.89591,0.033694,0.4562
79,0.88589,0.023711,0.4562
79,0.86583,0.043678,0.4562
80,0.87586,0.033694,0.44616
80,0.88589,0.033694,0.4562
81,0.89591,0.033694,0.43612
81,0.89591,0.033694,0.44616
82,0.88589,0.033694,0.4562
82,0.89591,0.033694,0.4562
83,0.89591,0.023711,0.44616
84,0.88589,0.023711,0.44616
84,0.89591,0.033694,0.44616
85,0.90594,0.023711,0.4562
85,0.89591,0.023711,0.44616
86,0.88589,0.0037438,0.41603
86,0.89591,0.023711,0.4562
87,0.89591,0.023711,0.44616
87,0.90594,0.033694,0.44616
88,0.89591,0.033694,0.4562
89,0.89591,0.033694,0.44616
89,0.89591,0.043678,0.44616
90,0.88589,0.033694,0.4562
90,0.81569,0.033694,0.44616
91,0.89591,0.013727,0.44616
91,0.88589,0.023711,0.44616
92,0.88589,0.033694,0.44616
92,0.89591,0.023711,0.44616
93,0.88589,0.033694,0.44616
94,0.88589,0.033694,0.43612
94,0.88589,0.013727,0.43612
95,0.88589,0.033694,0.44616
95,0.88589,0.033694,0.42608
96,0.89591,0.033694,0.43612
96,0.87586,0.023711,0.44616
97,0.89591,0.033694,0.44616
97,0.87586,0.023711,0.46624
98,0.88589,0.033694,0.44616
